Name,Brand,Price,Specifications,Description,URL,Images,ScrapedAt
DJI Osmo Action 6,N/A,"Rp7,495,000",{},N/A,https://shop.anekafoto.com/home/4344-1933-dji-osmo-action-6-standard-combo.html#/527-variant-standard_combo,,2026-04-12T15:21:02.620Z
Fujifilm XF 8-16mm f/2.8 R LM WR,N/A,"Rp24,999,000",{},"An ultra-wide zoom characterized by a bright and advanced optical design, the XF 8-16mm f/2.8 R LM WR from FUJIFILM is a 12-24mm-equivalent lens featuring a constant f/2.8 maximum aperture for consistent performance throughout the zoom range.",https://shop.anekafoto.com/home/3545-fujifilm-xf-8-16mm-f28-r-lm-wr.html,,2026-04-12T15:21:04.010Z
DJI Neo 2 Drone,N/A,"Rp5,875,000",{},N/A,https://shop.anekafoto.com/home/4342-1929-dji-neo-2-drone.html#/443-variant-fly_more_combo,,2026-04-12T15:21:05.336Z
Insta360 X4 360° 8K Action Camera,N/A,"Rp7,800,000","{""Key Features:"":""For Content Creators and Videographers | 8K30/5.7K60 360°Cinematic H.265 Video | 360° Post Reframing, Longer Runtime | Rugged Design, Removable Lens Guards | Gesture Control, Dual/Single Lens Modes | 5.7K120 Bullet Time, 11K Time-Lapse | FlowState Stabilization, Horizon Lock | 33' Waterproof, 72MP Photos | App with Edit Suite and Effects | Invisible Selfie Stick Feature"",""Standard Package"":""Insta360 X4 360° 8K Camera | 2 x Standard Lens Guard | 2290mAh Battery | Thermo Grip Cover | USB-C Charging Cable | Protective Pouch | Lens Cloth | Limited 1-Year Manufacturer Warranty"",""Motorcycle"":""1x Insta360 X4 | 1x Standard Lens Guard | 1x Insta360 MicroSD 128GB | 1x Heavy Duty Clamp Mount | 2x Flexible Adhesive Mount | 1x Clamp Mount Wrench | 1x 3-Prong to 1/4\"" Adapter | 2x 1/4\"" to 2-Prong Adapter | 3x Thumb Screw | 1x Hex Screw | 8x Anti Slip Ring | 1x Type-C to C Cable | 1x Ptotective Pouch | 1x Lens Cloth"",""Diving Bundle"":""Insta360 X4 360° 8K Camera | Standard Lens Guard | 2290mAh Battery | USB-C Charging Cable | Protective Pouch | Lens Cloth | Invisible Dive Case | Floating Hand Grip | Selfie Stick Wrist Strap | Lens Cap | Limited 1-Year Warranty"",""BMW Edition:"":""1x Insta360 X4 BMW Motorrad Edition | 1x Standard Lens Guards | 1x Type-C to C Cable | 1x Protective Pouch | 1x Lens Cloth""}","Break into the world of cinematic 360° video with the compact Insta360 X4 360° 8K Camera, capable of capturing 8K30 360° video in dual or single-lens modes all in one portable action camera.",https://shop.anekafoto.com/home/1732-340-insta360-x4-360-8k-action-camera.html#/160-variant-standard_package,,2026-04-12T15:21:06.250Z
DJI Osmo Mobile 8,N/A,"Rp2,038,000","{""General Features"":""Extendable Smartphone Gimbal Stabilizer | Auto-Track Humans/Pets | Magnetic Phone Clamp, Robust Motors | 10.6 oz Load Capacity, 10-Hour Battery | Built-In Tripod and Extension Rod | ActiveTrack 7.0, Follow, Dual Lens Boost | Supports Smartphones up to 3.3″ Wide | Intelligent Features with DJI Mimo App | Supports Phone Charging via USB-C | Direct Smartphone & DJI Mic Pairing""}",N/A,https://shop.anekafoto.com/home/4341-dji-osmo-mobile-8.html,,2026-04-12T15:21:07.105Z
Moza AirCross Handheld Gimbal for Mirrorless Cameras,N/A,"Rp4,000,000",{},N/A,https://shop.anekafoto.com/home/4196-moza-aircross.html,,2026-04-12T15:21:08.331Z
DJI Mini 5 Pro Fly More Combo Plus (RC2),N/A,"Rp18,080,000",{},N/A,https://shop.anekafoto.com/home/4340-dji-mini-5-pro-fly-more-combo-plus-rc2.html,,2026-04-12T15:21:09.990Z
Saramonic Blink 500 B2+ 2-Person Wireless Clip-On Microphone System for Cameras and Mobile Devices,N/A,"Rp1,750,000","{""Key Features:"":""Influencers, Content Creators, YouTubers | 2 x Clip-On Transmitters with Omni Mics | Ultracompact 2-Channel Plug-In Receiver | 3.5mm Output, Lightning & USB Adapters | Plug & Play Operation, Headphone Jack | Adjustable Gain, Active Noise Cancelling | Built-In Rechargeable Batteries | Receiver 16 Hours, Transmitters 20 Hours | Charging Case for 41.6 Hours of Power | 492' Range, Full Set of Accessories"",""What’s in the box?"":""Saramonic Blink 500 B2+ 2-Person Wireless Clip-On Microphone System for Cameras and Mobile Devices (2.4 GHz) | 2 x Blink 500 B2+ Transmitter | Blink 500 B2+ Dual-Channel Receiver | 2 x Furry Windshield | 2 x Magnetic Mic Mount | Coiled 3.5mm TRS to TRS Output Cable | Coiled 3.5mm TRS to TRRS Output Cable | MFi Certified Lightning Adapter | USB-C Adapter | USB-A to USB-C Charging Cable | Charging Carry Case with 1250mAh Internal Battery | Drawstring Storage Pouch | Limited 2-Year Manufacturer Warranty""}","Bring hands-free and hassle-free wireless audio to your videos and content with the Saramonic Blink 500 B2+, an ultracompact and extraordinarily easy-to-use true wireless microphone system offering a cost-effective, all-inclusive solution for recording two subjects to cameras, computers, and mobile devices.",https://shop.anekafoto.com/home/3368-saramonic-blink-500-b2-2-person-wireless-clip-on-microphone-system-for-cameras-and-mobile-devices.html,,2026-04-12T15:21:11.462Z
DJI Mini 5 Pro Fly More Combo (RC2),N/A,"Rp17,090,000",{},N/A,https://shop.anekafoto.com/home/4339-dji-mini-5-pro-fly-more-combo-rc2.html,,2026-04-12T15:21:12.053Z
"Viltrox FE 35mm F2 F2,0-F16 Standar-Prime FIxed For Sony",N/A,"Rp2,100,000","{""Key Features :"":""Focus:Manual Focus | Focal length:35mm | Aperture:F2-F16 | Min. Focus distance:0.35m | Filter Size: 43mm | Color: Silver and Black (for optional) | Lens weight:302g | Lens size:55*60mm""}","Adpot all-metal lens body design,which effectively improve the goodness to fit the camera body and the bayonet strength, wear and corrosion resistance for durable use.Built-in retractable lens
Supports full-frame and APS-C format cameras",https://shop.anekafoto.com/lenses/4169-viltrox-fe-35mm-f2-f20-f16-standar-prime-fixed-for-sony.html,,2026-04-12T15:21:13.609Z
